architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
fixed_tilt,0.95,0.95,lower_resistance,0.28474108269445464,249.94449867528502,0.2231647309600759
fixed_tilt,0.95,0.95,upper_resistance,0.04439668467269772,38.97121900484454,0.03479573125432548
fixed_tilt,1.0,1.0,central_screening,0.14416959067432483,126.55144710530715,0.11299236348688138
fixed_tilt,1.0,1.0,lower_resistance,0.3335660992798094,292.8028884016953,0.26143115035865655
fixed_tilt,1.0,1.0,upper_resistance,0.056245485097302865,49.372045095715876,0.04408218312117489
fixed_tilt,1.05,1.05,central_screening,0.17354163878433518,152.33410470586372,0.13601259348737832
fixed_tilt,1.05,1.05,lower_resistance,0.38360575759645543,336.7274854197435,0.3006495405533424
fixed_tilt,1.05,1.05,upper_resistance,0.06986392675266821,61.3262546536723,0.05475558451220741
fixed_tilt,1.1,1.1,central_screening,0.20554431041132412,180.42591232415828,0.16109456457514132
fixed_tilt,1.1,1.1,lower_resistance,0.4338733458054563,380.8521583177407,0.3400465699265542
fixed_tilt,1.1,1.1,upper_resistance,0.08531946923850192,74.89306342542073,0.06686880662983995
fixed_tilt,1.15,1.15,central_screening,0.23985889189041487,210.5471044748777,0.18798848613828367
fixed_tilt,1.15,1.15,lower_resistance,0.48346634682164097,424.384681477015,0.3789148941759063
fixed_tilt,1.15,1.15,upper_resistance,0.10265665000554783,90.11156619381832,0.08045675553019493
fixed_tilt,1.2,1.2,central_screening,0.2760937391134468,242.35389764302292,0.2163874086098419
fixed_tilt,1.2,1.2,lower_resistance,0.5316080484917214,466.64326030743723,0.4166457681316404
fixed_tilt,1.2,1.2,upper_resistance,0.12188957086763508,106.99414147043979,0.09553048345574981
fixed_tilt,1.25,1.25,central_screening,0.3138060235099115,275.4575788125183,0.24594426679689135
fixed_tilt,1.25,1.25,lower_resistance,0.5776699544195784,507.07620337354354,0.4527466101549496
fixed_tilt,1.25,1.25,upper_resistance,0.14299601255859679,125.52128527893419,0.11207257614190552
fixed_tilt,1.3,1.3,central_screening,0.3525253415520644,309.4452297883334,0.27629038373958337
fixed_tilt,1.3,1.3,lower_resistance,0.6211778788498358,545.2672724571431,0.4868457789795921
