block_id,x_low_mps,x_high_mps,n_sites,sum_damage_ratio,mean_damage_ratio,fit_role,source_refs
"B01","17.4","17.4","1","0.00000000000000","0.000000000000000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B02","18.3","18.3","1","0.00000000000000","0.000000000000000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B03","20.7","24.6","14","0.00381873184000","0.000272766560000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B04","24.8","25.1","2","0.00191035167000","0.000955175835000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B05","25.9","29.5","7","0.01297233485000","0.001853190692857","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B06","29.8","29.8","2","0.00810955181000","0.004054775905000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B07","31.7","37.9","3","0.01324364415000","0.004414548050000","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"B08","38.9","39.1","4","0.07309175053000","0.018272937632500","runtime_fit","TCWS-S020#manual_csv_ground_tracking_false"
"TAIL01","48.2","48.2","1","0.41423831920000","0.414238319200000","audit_only_excluded_sparse_tail","TCWS-S020#manual_csv_ground_tracking_false"
